class_id,label
0,class_000
1,class_001
2,class_002
3,class_003
4,class_004
5,class_005
6,class_006
7,class_007
8,class_008
9,class_009
10,class_010
11,class_011
12,class_012
13,class_013
14,class_014
15,class_015
16,class_016
17,class_017
18,class_018
19,class_019
20,class_020
21,class_021
22,class_022
23,class_023
24,class_024
25,class_025
26,class_026
27,class_027
28,class_028
29,class_029
30,class_030
31,class_031
32,class_032
33,class_033
34,class_034
35,class_035
36,class_036
37,class_037
38,class_038
39,class_039
40,class_040
41,class_041
42,class_042
43,class_043
44,class_044
45,class_045
46,class_046
47,class_047
48,class_048
49,class_049
50,class_050
51,class_051
52,class_052
53,class_053
54,class_054
55,class_055
56,class_056
57,class_057
58,class_058
59,class_059
60,class_060
61,class_061
62,class_062
63,class_063
64,class_064
65,class_065
66,class_066
67,class_067
68,class_068
69,class_069
70,class_070
71,class_071
72,class_072
73,class_073
74,class_074
75,class_075
76,class_076
77,class_077
78,class_078
79,class_079
80,class_080
81,class_081
82,class_082
83,class_083
84,class_084
85,class_085
86,class_086
87,class_087
88,class_088
89,class_089
90,class_090
91,class_091
92,class_092
93,class_093
94,class_094
95,class_095
96,class_096
97,class_097
98,class_098
99,class_099
100,class_100
101,class_101
102,class_102
103,class_103
104,class_104
105,class_105
106,class_106
107,class_107
