image_id,filename,npz_index,domain_id,modality_group,corruption_type,corruption_family,corruption_severity,is_unseen_corruption,label
train_000000,train/images.npz,0,domain_09,3d_projection,none,generic,0,False,class_062
train_000001,train/images.npz,1,domain_06,retinal,contrast,generic,1,False,class_032
train_000002,train/images.npz,2,domain_07,ct,noise,generic,1,False,class_045
train_000003,train/images.npz,3,domain_01,microscopy,none,generic,0,False,class_005
train_000004,train/images.npz,4,domain_00,3d_projection,noise,generic,2,False,class_000
train_000005,train/images.npz,5,domain_03,xray,blur,generic,2,False,class_017
train_000006,train/images.npz,6,domain_01,microscopy,none,generic,0,False,class_006
train_000007,train/images.npz,7,domain_07,ct,none,generic,0,False,class_043
train_000008,train/images.npz,8,domain_02,ultrasound,blur,generic,2,False,class_011
train_000009,train/images.npz,9,domain_15,microscopy,contrast,generic,1,False,class_098
train_000010,train/images.npz,10,domain_08,ct,none,generic,0,False,class_056
train_000011,train/images.npz,11,domain_13,retinal,brightness,generic,1,False,class_092
train_000012,train/images.npz,12,domain_03,xray,none,generic,0,False,class_016
train_000013,train/images.npz,13,domain_10,ct,contrast,generic,1,False,class_070
train_000014,train/images.npz,14,domain_09,3d_projection,blur,generic,1,False,class_061
train_000015,train/images.npz,15,domain_08,ct,contrast,generic,1,False,class_049
train_000016,train/images.npz,16,domain_13,retinal,contrast,generic,1,False,class_092
train_000017,train/images.npz,17,domain_03,xray,none,generic,0,False,class_012
train_000018,train/images.npz,18,domain_08,ct,contrast,generic,1,False,class_048
train_000019,train/images.npz,19,domain_01,microscopy,contrast,generic,2,False,class_006
train_000020,train/images.npz,20,domain_10,ct,none,generic,0,False,class_075
train_000021,train/images.npz,21,domain_13,retinal,noise,generic,2,False,class_095
train_000022,train/images.npz,22,domain_01,microscopy,none,generic,0,False,class_004
train_000023,train/images.npz,23,domain_09,3d_projection,none,generic,0,False,class_068
train_000024,train/images.npz,24,domain_03,xray,blur,generic,1,False,class_016
train_000025,train/images.npz,25,domain_04,3d_projection,brightness,generic,2,False,class_028
train_000026,train/images.npz,26,domain_03,xray,none,generic,0,False,class_012
train_000027,train/images.npz,27,domain_12,xray,contrast,generic,2,False,class_089
train_000028,train/images.npz,28,domain_01,microscopy,contrast,generic,1,False,class_003
train_000029,train/images.npz,29,domain_15,microscopy,contrast,generic,1,False,class_104
train_000030,train/images.npz,30,domain_13,retinal,none,generic,0,False,class_095
train_000031,train/images.npz,31,domain_07,ct,brightness,generic,1,False,class_041
train_000032,train/images.npz,32,domain_10,ct,none,generic,0,False,class_073
train_000033,train/images.npz,33,domain_07,ct,none,generic,0,False,class_045
train_000034,train/images.npz,34,domain_03,xray,none,generic,0,False,class_017
train_000035,train/images.npz,35,domain_07,ct,noise,generic,1,False,class_036
train_000036,train/images.npz,36,domain_08,ct,none,generic,0,False,class_048
train_000037,train/images.npz,37,domain_07,ct,noise,generic,2,False,class_038
train_000038,train/images.npz,38,domain_06,retinal,none,generic,0,False,class_033
train_000039,train/images.npz,39,domain_06,retinal,none,generic,0,False,class_035
train_000040,train/images.npz,40,domain_10,ct,none,generic,0,False,class_070
train_000041,train/images.npz,41,domain_16,3d_projection,blur,generic,1,False,class_107
train_000042,train/images.npz,42,domain_08,ct,blur,generic,2,False,class_056
train_000043,train/images.npz,43,domain_15,microscopy,noise,generic,1,False,class_099
train_000044,train/images.npz,44,domain_08,ct,contrast,generic,2,False,class_049
train_000045,train/images.npz,45,domain_09,3d_projection,blur,generic,1,False,class_068
train_000046,train/images.npz,46,domain_03,xray,contrast,generic,2,False,class_025
train_000047,train/images.npz,47,domain_08,ct,none,generic,0,False,class_054
train_000048,train/images.npz,48,domain_12,xray,none,generic,0,False,class_089
train_000049,train/images.npz,49,domain_13,retinal,none,generic,0,False,class_093
train_000050,train/images.npz,50,domain_07,ct,none,generic,0,False,class_045
train_000051,train/images.npz,51,domain_11,microscopy,contrast,generic,1,False,class_085
train_000052,train/images.npz,52,domain_03,xray,noise,generic,1,False,class_017
train_000053,train/images.npz,53,domain_03,xray,none,generic,0,False,class_025
train_000054,train/images.npz,54,domain_12,xray,blur,generic,2,False,class_090
train_000055,train/images.npz,55,domain_09,3d_projection,brightness,generic,2,False,class_063
train_000056,train/images.npz,56,domain_08,ct,none,generic,0,False,class_054
train_000057,train/images.npz,57,domain_09,3d_projection,blur,generic,2,False,class_067
train_000058,train/images.npz,58,domain_01,microscopy,none,generic,0,False,class_009
train_000059,train/images.npz,59,domain_09,3d_projection,brightness,generic,1,False,class_059
train_000060,train/images.npz,60,domain_08,ct,noise,generic,1,False,class_049
train_000061,train/images.npz,61,domain_08,ct,none,generic,0,False,class_048
train_000062,train/images.npz,62,domain_15,microscopy,contrast,generic,1,False,class_100
train_000063,train/images.npz,63,domain_11,microscopy,none,generic,0,False,class_085
train_000064,train/images.npz,64,domain_01,microscopy,none,generic,0,False,class_004
train_000065,train/images.npz,65,domain_07,ct,noise,generic,2,False,class_040
train_000066,train/images.npz,66,domain_05,3d_projection,none,generic,0,False,class_031
train_000067,train/images.npz,67,domain_09,3d_projection,none,generic,0,False,class_058
train_000068,train/images.npz,68,domain_07,ct,none,generic,0,False,class_046
train_000069,train/images.npz,69,domain_08,ct,none,generic,0,False,class_055
train_000070,train/images.npz,70,domain_03,xray,none,generic,0,False,class_026
train_000071,train/images.npz,71,domain_13,retinal,blur,generic,1,False,class_093
